Project_ID,MP_ID,State,Constituency,Project_Category,Project_Description,Sanctioned_Amount,Sanction_Date,Expected_Completion_Date,Actual_Completion_Date,Contractor_ID,Project_Status
P00041879,MP0067,Gujarat,RAJKOT-4,Electricity,Solar lighting installation,3920000,2025-08-28,2026-05-11,2026-05-09,V011525,Completed
P00041880,MP0060,Telangana,HYDERABAD-1,Education,Library construction,4050000,2025-02-26,2025-11-12,2025-10-29,V005186,Completed
P00041881,MP0047,West Bengal,SILIGURI-2,Education,Library construction,4000000,2025-05-24,2025-09-02,2025-08-30,V044845,Completed
P00041882,MP0025,Rajasthan,JODHPUR-4,Community Development,Public facility development,6220000,2025-03-22,2025-09-25,2025-09-10,V049665,Completed
P00041883,MP0066,Tamil Nadu,CHENNAI-1,Healthcare,Community health facility,5370000,2025-06-09,2026-01-04,,V014207,Ongoing
P00041884,MP0079,West Bengal,KOLKATA-5,Sports,Playground construction,8220000,2025-08-09,2026-01-02,2026-04-14,V048695,Delayed
P00041885,MP0067,Gujarat,RAJKOT-4,Community Development,Community hall construction,6830000,2025-04-06,2025-11-23,,V023153,Ongoing
P00041886,MP0069,Uttar Pradesh,LUCKNOW-4,Agriculture,Agricultural storage facility,8040000,2025-06-05,2025-11-05,2026-04-30,V008367,Completed
P00041887,MP0040,Rajasthan,JODHPUR-5,Sanitation,Drainage improvement,1280000,2025-08-25,2026-04-23,2026-03-27,V027814,Completed
P00041888,MP0100,Maharashtra,NASHIK-5,Road,Village road construction,3660000,2025-08-14,2026-01-24,,V001296,Ongoing
P00041889,MP0050,Karnataka,HUBBALLI-2,Road,Road repair and improvement,2040000,2025-06-14,2026-02-13,,V047118,Ongoing
P00041890,MP0040,Rajasthan,JODHPUR-5,Road,Rural connectivity road,3550000,2025-08-09,2025-11-07,2025-10-17,V017658,Completed
P00041891,MP0037,Madhya Pradesh,UJJAIN-2,Education,School laboratory development,8780000,2025-05-25,2025-10-16,2025-10-06,V002310,Completed
P00041892,MP0091,Madhya Pradesh,BHOPAL-1,Healthcare,Community health facility,5850000,2025-04-17,2026-01-05,2025-12-10,V035076,Completed
P00041893,MP0069,Uttar Pradesh,LUCKNOW-4,Road,Village road construction,8140000,2025-02-28,2025-09-19,2025-08-20,V022341,Completed
P00041894,MP0017,Uttar Pradesh,AGRA-4,Sports,Playground construction,850000,2025-05-23,2025-11-21,2025-11-04,V011043,Completed
P00041895,MP0062,Bihar,GAYA-5,Agriculture,Agricultural storage facility,4830000,2025-05-27,2025-12-08,2025-12-04,V031386,Completed
P00041896,MP0041,Maharashtra,LATUR-3,Sports,Community sports facility,6740000,2025-03-09,2025-09-01,2025-08-09,V028041,Completed
P00041897,MP0076,Karnataka,KALABURAGI-2,Public Infrastructure,Infrastructure development,5820000,2025-05-11,2025-09-22,2025-08-23,V026545,Completed
P00041898,MP0042,Maharashtra,SOLAPUR-3,Sanitation,Sanitation infrastructure,6430000,2025-04-27,2025-08-19,,V012485,Ongoing
P00041899,MP0031,Gujarat,SURAT-4,Sanitation,Community toilet construction,9980000,2025-04-04,2025-10-13,,V048793,Ongoing
P00041900,MP0033,Telangana,NIZAMABAD-5,Public Infrastructure,Infrastructure development,6280000,2025-07-20,2025-12-31,,V023634,Ongoing
P00041901,MP0043,Bihar,PATNA-2,Public Infrastructure,Public building construction,1600000,2025-04-21,2025-12-05,2025-11-25,V042854,Completed
P00041902,MP0093,West Bengal,HOWRAH-3,Public Infrastructure,Infrastructure development,9220000,2025-07-02,2026-01-02,,V021662,Ongoing
P00041903,MP0067,Gujarat,RAJKOT-4,Sanitation,Drainage improvement,880000,2025-03-13,2025-07-26,2025-07-05,V001824,Completed
P00041904,MP0038,Karnataka,KALABURAGI-3,Sanitation,Sanitation infrastructure,7640000,2025-07-02,2025-12-10,,V024675,Ongoing
P00041905,MP0041,Maharashtra,LATUR-3,Education,School classroom construction,8340000,2025-03-11,2025-07-31,2025-07-16,V020052,Completed
P00041906,MP0063,Gujarat,RAJKOT-2,Sanitation,Waste management facility,6670000,2025-05-31,2025-11-30,,V013268,Ongoing
P00041907,MP0040,Rajasthan,JODHPUR-5,Public Infrastructure,Public facility improvement,5240000,2025-06-02,2026-02-24,,V027739,Ongoing
P00041908,MP0030,Telangana,HYDERABAD-1,Healthcare,Health centre infrastructure,1530000,2025-03-05,2025-09-17,,V021426,Ongoing
P00041909,MP0047,West Bengal,SILIGURI-2,Healthcare,Medical equipment purchase,6070000,2025-03-17,2025-08-17,,V046653,Ongoing
P00041910,MP0022,Tamil Nadu,MADURAI-3,Sanitation,Sanitation infrastructure,8320000,2025-01-10,2025-08-25,2025-07-31,V034961,Completed
P00041911,MP0096,Maharashtra,PUNE-3,Sports,Sports ground development,5790000,2025-04-26,2025-08-07,2025-07-13,V047283,Completed
P00041912,MP0055,Tamil Nadu,MADURAI-3,Agriculture,Irrigation development,7210000,2025-08-25,2026-04-07,,V017039,Ongoing
P00041913,MP0043,Bihar,PATNA-2,Healthcare,Health centre infrastructure,880000,2025-08-25,2026-01-02,2025-12-09,V007422,Completed
P00041914,MP0061,Uttar Pradesh,AGRA-1,Road,Rural connectivity road,9460000,2025-06-01,2026-02-12,2026-01-26,V004107,Completed
P00041915,MP0074,Maharashtra,LATUR-4,Agriculture,Irrigation development,8230000,2025-08-07,2025-11-26,,V031594,Ongoing
P00041916,MP0032,Karnataka,MYSURU-4,Healthcare,Primary health centre development,6970000,2025-03-04,2025-06-18,2025-10-13,V049736,Delayed
P00041917,MP0004,Maharashtra,PUNE-1,Electricity,Electricity infrastructure,670000,2025-05-03,2025-09-08,,V049731,Ongoing
P00041918,MP0093,West Bengal,HOWRAH-3,Agriculture,Agricultural storage facility,3980000,2025-05-22,2025-10-01,,V023265,Ongoing
P00041919,MP0045,Tamil Nadu,MADURAI-2,Agriculture,Irrigation development,3680000,2025-07-09,2026-03-03,,V049958,Ongoing
P00041920,MP0072,Madhya Pradesh,INDORE-1,Sanitation,Sanitation infrastructure,4580000,2025-06-02,2026-02-07,2026-01-30,V011217,Completed
P00041921,MP0020,Gujarat,BHAVNAGAR-2,Sports,Community sports facility,6800000,2025-07-07,2025-11-19,2026-01-12,V044128,Completed
P00041922,MP0071,Tamil Nadu,SALEM-2,Agriculture,Irrigation development,4080000,2025-04-25,2025-12-20,2025-12-11,V015025,Completed
P00041923,MP0065,Tamil Nadu,CHENNAI-1,Sanitation,Drainage improvement,7720000,2025-04-17,2025-12-12,2026-06-05,V024086,Delayed
P00041924,MP0060,Telangana,HYDERABAD-1,Education,School laboratory development,9600000,2025-02-10,2025-08-22,2025-08-10,V025835,Completed
P00041925,MP0089,Madhya Pradesh,UJJAIN-5,Public Infrastructure,Public facility improvement,7810000,2025-07-03,2025-12-30,2025-12-09,V037059,Completed
P00041926,MP0026,Telangana,WARANGAL-3,Road,Rural connectivity road,9220000,2025-06-26,2026-03-16,2026-02-18,V031128,Completed
P00041927,MP0073,Tamil Nadu,CHENNAI-3,Electricity,Solar lighting installation,6130000,2025-08-27,2026-04-21,2026-04-09,V008916,Completed
P00041928,MP0023,Bihar,PATNA-3,Agriculture,Farmer support infrastructure,5980000,2025-04-05,2025-09-05,2025-08-29,V035774,Completed
P00041929,MP0040,Rajasthan,JODHPUR-5,Road,Internal road development,5900000,2025-02-09,2025-11-04,,V000655,Ongoing
P00041930,MP0002,Bihar,GAYA-1,Water Supply,Construction of water tank,4950000,2025-07-01,2025-12-22,2025-12-07,V024941,Completed
P00041931,MP0026,Telangana,WARANGAL-3,Sanitation,Community toilet construction,5470000,2025-03-01,2025-06-12,2025-05-30,V038441,Completed
P00041932,MP0078,Karnataka,BENGALURU-2,Electricity,Electricity infrastructure,3920000,2025-02-02,2025-07-13,2025-12-23,V025394,Completed
P00041933,MP0062,Bihar,GAYA-5,Healthcare,Community health facility,2000000,2025-02-12,2025-06-11,2025-05-28,V002417,Completed
P00041934,MP0044,Karnataka,BELAGAVI-4,Public Infrastructure,Public facility improvement,9300000,2025-05-25,2025-11-18,,V000126,Ongoing
P00041935,MP0031,Gujarat,SURAT-4,Healthcare,Primary health centre development,4660000,2025-08-27,2025-12-17,,V039009,Ongoing
P00041936,MP0026,Telangana,WARANGAL-3,Sports,Sports ground development,4480000,2025-05-01,2025-11-12,2025-10-16,V005710,Completed
P00041937,MP0083,Gujarat,VADODARA-4,Public Infrastructure,Public building construction,2860000,2025-08-21,2026-04-23,2026-04-05,V015804,Completed
P00041938,MP0005,Bihar,MUZAFFARPUR-5,Sanitation,Sanitation infrastructure,2180000,2025-01-21,2025-04-25,2025-04-23,V027730,Completed
P00041939,MP0070,Telangana,NIZAMABAD-4,Public Infrastructure,Infrastructure development,1080000,2025-06-20,2025-11-16,2025-10-31,V048367,Completed
P00041940,MP0035,Rajasthan,JAIPUR-3,Sanitation,Drainage improvement,4580000,2025-04-28,2025-09-16,2025-08-18,V036537,Completed
P00041941,MP0016,Karnataka,KALABURAGI-2,Healthcare,Community health facility,7530000,2025-02-23,2025-06-14,2025-05-18,V022986,Completed
P00041942,MP0031,Gujarat,SURAT-4,Sanitation,Sanitation infrastructure,9190000,2025-06-05,2026-02-02,2026-01-28,V026214,Completed
P00041943,MP0082,Rajasthan,JODHPUR-3,Agriculture,Farmer support infrastructure,7940000,2025-03-30,2025-11-12,2025-11-02,V024232,Completed
P00041944,MP0014,West Bengal,DURGAPUR-5,Public Infrastructure,Infrastructure development,840000,2025-08-29,2026-02-21,2026-02-10,V045258,Completed
P00041945,MP0025,Rajasthan,JODHPUR-4,Water Supply,Construction of water tank,6900000,2025-02-15,2025-05-24,2025-05-01,V021715,Completed
P00041946,MP0079,West Bengal,KOLKATA-5,Electricity,Street lighting installation,2030000,2025-03-03,2025-07-07,2025-07-01,V035307,Completed
P00041947,MP0090,Tamil Nadu,COIMBATORE-1,Community Development,Village development work,5860000,2025-02-22,2025-11-11,2025-10-30,V039885,Completed
P00041948,MP0100,Maharashtra,NASHIK-5,Community Development,Village development work,9500000,2025-06-25,2026-03-12,2026-03-03,V013529,Completed
P00041949,MP0075,Tamil Nadu,MADURAI-1,Agriculture,Agricultural storage facility,6540000,2025-05-03,2025-12-18,,V038809,Ongoing
P00041950,MP0071,Tamil Nadu,SALEM-2,Agriculture,Farmer support infrastructure,8220000,2025-03-15,2025-09-11,,V007562,Ongoing
P00041951,MP0018,Rajasthan,JODHPUR-3,Road,Rural connectivity road,8720000,2025-02-11,2025-05-17,2025-04-18,V007045,Completed
P00041952,MP0050,Karnataka,HUBBALLI-2,Water Supply,Water supply improvement,7500000,2025-06-28,2026-01-15,2026-01-14,V014748,Completed
P00041953,MP0020,Gujarat,BHAVNAGAR-2,Education,School classroom construction,5430000,2025-05-07,2025-10-08,2025-09-14,V011337,Completed
P00041954,MP0056,Telangana,WARANGAL-5,Public Infrastructure,Public facility improvement,3150000,2025-06-24,2025-12-02,2025-11-04,V036330,Completed
P00041955,MP0002,Bihar,GAYA-1,Water Supply,Drinking water facility,8680000,2025-06-19,2026-02-10,2026-01-30,V029256,Completed
P00041956,MP0026,Telangana,WARANGAL-3,Road,Road repair and improvement,6950000,2025-04-08,2025-07-13,,V041324,Ongoing
P00041957,MP0023,Bihar,PATNA-3,Sanitation,Sanitation infrastructure,7480000,2025-08-01,2026-04-15,2026-04-03,V018573,Completed
P00041958,MP0032,Karnataka,MYSURU-4,Public Infrastructure,Public building construction,3510000,2025-02-26,2025-05-28,,V021063,Ongoing
P00041959,MP0013,Uttar Pradesh,LUCKNOW-5,Agriculture,Irrigation development,10000000,2025-04-11,2025-07-29,2025-07-04,V015556,Completed
P00041960,MP0013,Uttar Pradesh,LUCKNOW-5,Agriculture,Irrigation development,6720000,2025-02-18,2025-05-24,2025-05-22,V001681,Completed
P00041961,MP0017,Uttar Pradesh,AGRA-4,Water Supply,Construction of water tank,1940000,2025-01-06,2025-04-16,2025-03-20,V020021,Completed
P00041962,MP0089,Madhya Pradesh,UJJAIN-5,Education,School laboratory development,7160000,2025-07-14,2026-01-23,2026-01-08,V033771,Completed
P00041963,MP0058,Uttar Pradesh,KANPUR-1,Education,School infrastructure improvement,1670000,2025-03-17,2025-11-19,2025-11-12,V023531,Completed
P00041964,MP0086,Bihar,MUZAFFARPUR-3,Water Supply,Pipeline installation,7380000,2025-05-22,2025-09-14,,V046984,Ongoing
P00041965,MP0027,Bihar,MUZAFFARPUR-5,Water Supply,Drinking water facility,7140000,2025-05-16,2025-08-17,2025-07-30,V030445,Completed
P00041966,MP0017,Uttar Pradesh,AGRA-4,Sports,Community sports facility,1420000,2025-02-03,2025-07-21,2025-07-12,V040950,Completed
P00041967,MP0090,Tamil Nadu,COIMBATORE-1,Water Supply,Water supply improvement,600000,2025-07-27,2026-01-29,2026-01-08,V033254,Completed
P00041968,MP0038,Karnataka,KALABURAGI-3,Road,Road repair and improvement,9950000,2025-03-12,2025-09-01,2025-08-13,V039900,Completed
P00041969,MP0014,West Bengal,DURGAPUR-5,Agriculture,Agricultural storage facility,7610000,2025-05-05,2026-01-29,,V005375,Ongoing
P00041970,MP0014,West Bengal,DURGAPUR-5,Road,Rural connectivity road,4620000,2025-01-31,2025-05-04,,V022473,Ongoing
P00041971,MP0012,Maharashtra,SATARA-5,Sanitation,Community toilet construction,7070000,2025-08-13,2025-11-22,2025-11-12,V037505,Completed
P00041972,MP0069,Uttar Pradesh,LUCKNOW-4,Road,Rural connectivity road,4120000,2025-04-07,2025-12-07,2025-11-29,V022133,Completed
P00041973,MP0068,Bihar,BHAGALPUR-1,Public Infrastructure,Infrastructure development,2570000,2025-05-08,2026-01-20,,V010846,Ongoing
P00041974,MP0055,Tamil Nadu,MADURAI-3,Electricity,Solar lighting installation,7620000,2025-01-04,2025-05-25,,V027437,Ongoing
P00041975,MP0063,Gujarat,RAJKOT-2,Electricity,Street lighting installation,6200000,2025-08-26,2026-02-10,2026-01-11,V031776,Completed
P00041976,MP0029,Rajasthan,JODHPUR-2,Sports,Sports ground development,1460000,2025-01-28,2025-06-27,,V013374,Ongoing
P00041977,MP0089,Madhya Pradesh,UJJAIN-5,Sanitation,Drainage improvement,1400000,2025-04-02,2025-11-06,2025-11-03,V025924,Completed
P00041978,MP0045,Tamil Nadu,MADURAI-2,Healthcare,Community health facility,7040000,2025-02-05,2025-09-19,2025-12-19,V034447,Delayed
P00041979,MP0004,Maharashtra,PUNE-1,Electricity,Electricity infrastructure,3840000,2025-04-17,2025-08-11,2025-07-31,V000376,Completed
P00041980,MP0016,Karnataka,KALABURAGI-2,Education,School infrastructure improvement,7790000,2025-01-03,2025-05-04,2025-04-20,V012402,Completed
P00041981,MP0066,Tamil Nadu,CHENNAI-1,Sports,Community sports facility,5720000,2025-01-01,2025-09-19,,V017329,Ongoing
P00041982,MP0023,Bihar,PATNA-3,Education,Library construction,6610000,2025-05-05,2025-08-05,2025-07-12,V018450,Completed
P00041983,MP0068,Bihar,BHAGALPUR-1,Community Development,Village development work,9150000,2025-08-19,2025-12-08,,V030859,Ongoing
P00041984,MP0020,Gujarat,BHAVNAGAR-2,Road,Internal road development,940000,2025-02-14,2025-09-05,,V027597,Ongoing
P00041985,MP0017,Uttar Pradesh,AGRA-4,Education,School classroom construction,2370000,2025-08-19,2026-02-23,2026-02-12,V031056,Completed
P00041986,MP0052,Bihar,MUZAFFARPUR-2,Community Development,Public facility development,6260000,2025-05-05,2025-09-05,,V048271,Ongoing
P00041987,MP0006,Tamil Nadu,MADURAI-5,Public Infrastructure,Public facility improvement,1010000,2025-02-01,2025-10-05,,V005323,Ongoing
P00041988,MP0082,Rajasthan,JODHPUR-3,Healthcare,Community health facility,1140000,2025-05-30,2025-09-11,2025-08-17,V006027,Completed
P00041989,MP0084,Karnataka,BELAGAVI-4,Sanitation,Community toilet construction,8160000,2025-02-09,2025-10-16,2025-10-05,V046841,Completed
P00041990,MP0039,Tamil Nadu,TIRUCHIRAPPALLI-2,Sanitation,Waste management facility,2690000,2025-07-16,2025-10-15,,V010715,Ongoing
P00041991,MP0034,Karnataka,BALLARI-5,Electricity,Electricity infrastructure,4910000,2025-01-20,2025-07-01,2025-06-19,V016823,Completed
P00041992,MP0054,Karnataka,BELAGAVI-3,Electricity,Street lighting installation,7300000,2025-08-18,2026-04-23,,V009028,Ongoing
P00041993,MP0088,Madhya Pradesh,INDORE-4,Community Development,Village development work,5220000,2025-07-29,2026-03-23,2026-04-22,V049215,Delayed
P00041994,MP0082,Rajasthan,JODHPUR-3,Community Development,Village development work,3790000,2025-06-11,2026-02-09,2026-01-26,V026492,Completed
P00041995,MP0094,Madhya Pradesh,UJJAIN-4,Education,Library construction,7870000,2025-03-07,2025-07-03,2025-06-20,V002233,Completed
P00041996,MP0065,Tamil Nadu,CHENNAI-1,Education,School infrastructure improvement,1880000,2025-07-23,2025-12-01,,V046234,Ongoing
P00041997,MP0087,Rajasthan,JAIPUR-2,Community Development,Village development work,5250000,2025-07-24,2026-01-17,2025-12-20,V032655,Completed
P00041998,MP0029,Rajasthan,JODHPUR-2,Sanitation,Sanitation infrastructure,2770000,2025-04-14,2025-12-01,2025-11-01,V038250,Completed
P00041999,MP0041,Maharashtra,LATUR-3,Public Infrastructure,Public facility improvement,4450000,2025-05-19,2026-01-13,,V023373,Ongoing
P00042000,MP0063,Gujarat,RAJKOT-2,Sports,Sports ground development,7000000,2025-08-27,2025-12-02,2025-11-10,V009046,Completed
P00042001,MP0032,Karnataka,MYSURU-4,Road,Rural connectivity road,1280000,2025-01-23,2025-10-01,2026-03-06,V009072,Completed
P00042002,MP0066,Tamil Nadu,CHENNAI-1,Public Infrastructure,Infrastructure development,8240000,2025-01-04,2025-09-26,2025-09-23,V045672,Completed
P00042003,MP0100,Maharashtra,NASHIK-5,Education,Library construction,8850000,2025-04-17,2025-07-25,2025-07-10,V022613,Completed
P00042004,MP0045,Tamil Nadu,MADURAI-2,Sports,Community sports facility,7670000,2025-08-01,2025-11-03,2025-10-28,V012474,Completed
P00042005,MP0017,Uttar Pradesh,AGRA-4,Sanitation,Community toilet construction,5310000,2025-06-02,2026-01-17,2025-12-21,V005954,Completed
P00042006,MP0043,Bihar,PATNA-2,Road,Rural connectivity road,7670000,2025-08-09,2025-11-13,2025-10-28,V007677,Completed
P00042007,MP0066,Tamil Nadu,CHENNAI-1,Education,School laboratory development,7370000,2025-02-08,2025-09-08,2025-09-03,V035453,Completed
P00042008,MP0068,Bihar,BHAGALPUR-1,Water Supply,Construction of water tank,6670000,2025-03-25,2025-08-28,2025-08-05,V026229,Completed
P00042009,MP0034,Karnataka,BALLARI-5,Road,Rural connectivity road,790000,2025-08-08,2026-03-14,,V011407,Ongoing
P00042010,MP0001,Karnataka,BELAGAVI-3,Healthcare,Medical equipment purchase,7700000,2025-03-05,2025-08-20,,V002804,Ongoing
P00042011,MP0023,Bihar,PATNA-3,Sports,Playground construction,9840000,2025-07-16,2025-10-26,2026-01-26,V035582,Completed
P00042012,MP0006,Tamil Nadu,MADURAI-5,Public Infrastructure,Public building construction,9160000,2025-03-25,2025-11-13,,V006605,Ongoing
P00042013,MP0016,Karnataka,KALABURAGI-2,Public Infrastructure,Public building construction,6530000,2025-02-27,2025-09-13,2025-08-31,V028088,Completed
P00042014,MP0002,Bihar,GAYA-1,Public Infrastructure,Public building construction,4850000,2025-07-03,2026-02-28,2026-02-11,V025975,Completed
P00042015,MP0076,Karnataka,KALABURAGI-2,Public Infrastructure,Infrastructure development,9610000,2025-06-16,2025-12-11,2025-12-04,V012339,Completed
P00042016,MP0027,Bihar,MUZAFFARPUR-5,Sanitation,Sanitation infrastructure,5590000,2025-01-29,2025-09-10,,V041190,Ongoing
P00042017,MP0019,Bihar,AURANGABAD-1,Community Development,Community hall construction,3460000,2025-01-03,2025-06-21,2025-06-12,V046770,Completed
P00042018,MP0028,West Bengal,SILIGURI-5,Public Infrastructure,Public building construction,650000,2025-08-08,2025-11-10,,V029690,Ongoing
P00042019,MP0035,Rajasthan,JAIPUR-3,Healthcare,Community health facility,2120000,2025-08-30,2026-03-27,2026-03-20,V042476,Completed
P00042020,MP0068,Bihar,BHAGALPUR-1,Electricity,Solar lighting installation,5830000,2025-03-03,2025-11-05,2025-10-17,V015692,Completed
P00042021,MP0049,Rajasthan,AJMER-5,Public Infrastructure,Infrastructure development,2700000,2025-01-09,2025-04-14,2025-04-11,V031783,Completed
P00042022,MP0007,Bihar,BHAGALPUR-5,Education,School infrastructure improvement,3220000,2025-06-06,2026-02-08,2026-01-19,V030615,Completed
P00042023,MP0037,Madhya Pradesh,UJJAIN-2,Education,School infrastructure improvement,7860000,2025-03-14,2025-11-13,2025-10-18,V016345,Completed
P00042024,MP0025,Rajasthan,JODHPUR-4,Public Infrastructure,Public building construction,8560000,2025-03-20,2025-11-18,2025-10-27,V002928,Completed
P00042025,MP0041,Maharashtra,LATUR-3,Road,Rural connectivity road,5580000,2025-04-07,2025-11-14,2025-10-26,V015660,Completed
P00042026,MP0081,Rajasthan,KOTA-2,Community Development,Public facility development,4580000,2025-03-06,2025-10-18,2025-10-02,V033813,Completed
P00042027,MP0062,Bihar,GAYA-5,Healthcare,Community health facility,3380000,2025-04-30,2026-01-07,2026-01-01,V037276,Completed
P00042028,MP0041,Maharashtra,LATUR-3,Public Infrastructure,Public building construction,6720000,2025-01-23,2025-08-18,2026-01-26,V044684,Completed
P00042029,MP0014,West Bengal,DURGAPUR-5,Healthcare,Community health facility,5170000,2025-07-27,2026-01-15,,V036540,Ongoing
P00042030,MP0054,Karnataka,BELAGAVI-3,Sports,Playground construction,870000,2025-07-13,2026-02-13,,V023107,Ongoing
P00042031,MP0002,Bihar,GAYA-1,Electricity,Solar lighting installation,1640000,2025-03-02,2025-10-26,2025-09-29,V041037,Completed
P00042032,MP0088,Madhya Pradesh,INDORE-4,Water Supply,Water supply improvement,8030000,2025-08-20,2026-01-29,,V012226,Ongoing
P00042033,MP0079,West Bengal,KOLKATA-5,Public Infrastructure,Public facility improvement,1530000,2025-08-30,2026-04-17,2026-04-02,V031018,Completed
P00042034,MP0048,Bihar,AURANGABAD-4,Community Development,Village development work,660000,2025-07-23,2026-01-28,2026-01-03,V003372,Completed
P00042035,MP0051,Rajasthan,JAIPUR-5,Education,School laboratory development,3280000,2025-05-25,2025-09-23,2025-09-04,V047929,Completed
P00042036,MP0097,Madhya Pradesh,INDORE-4,Education,School laboratory development,5400000,2025-03-07,2025-11-10,,V009872,Ongoing
P00042037,MP0055,Tamil Nadu,MADURAI-3,Sports,Playground construction,4250000,2025-01-17,2025-05-31,2025-05-13,V013396,Completed
P00042038,MP0012,Maharashtra,SATARA-5,Community Development,Public facility development,1500000,2025-04-26,2026-01-08,2025-12-18,V019680,Completed
P00042039,MP0083,Gujarat,VADODARA-4,Education,School infrastructure improvement,7470000,2025-06-21,2026-02-16,,V006359,Ongoing
P00042040,MP0069,Uttar Pradesh,LUCKNOW-4,Community Development,Community hall construction,7180000,2025-01-01,2025-08-07,2025-07-10,V031422,Completed
P00042041,MP0001,Karnataka,BELAGAVI-3,Sanitation,Waste management facility,1500000,2025-07-10,2026-01-22,2025-12-31,V048010,Completed
P00042042,MP0059,Uttar Pradesh,AGRA-4,Road,Road repair and improvement,8570000,2025-05-27,2026-01-20,2026-01-12,V017599,Completed
P00042043,MP0073,Tamil Nadu,CHENNAI-3,Water Supply,Water supply improvement,3960000,2025-04-12,2025-11-29,2025-11-13,V003072,Completed
P00042044,MP0034,Karnataka,BALLARI-5,Sanitation,Sanitation infrastructure,6370000,2025-01-16,2025-07-30,2025-07-13,V001303,Completed
P00042045,MP0093,West Bengal,HOWRAH-3,Healthcare,Community health facility,6660000,2025-03-27,2025-08-18,2025-08-02,V037810,Completed
P00042046,MP0046,Telangana,WARANGAL-3,Water Supply,Pipeline installation,2590000,2025-01-31,2025-06-22,2025-06-21,V014408,Completed
P00042047,MP0059,Uttar Pradesh,AGRA-4,Electricity,Electricity infrastructure,1050000,2025-04-25,2025-11-19,,V039428,Ongoing
P00042048,MP0066,Tamil Nadu,CHENNAI-1,Public Infrastructure,Infrastructure development,920000,2025-02-25,2025-05-30,,V046920,Ongoing
P00042049,MP0019,Bihar,AURANGABAD-1,Sports,Sports ground development,8700000,2025-06-23,2026-01-31,,V036216,Ongoing
P00042050,MP0028,West Bengal,SILIGURI-5,Education,School laboratory development,3160000,2025-04-19,2025-10-10,2025-09-19,V000151,Completed
P00042051,MP0099,Karnataka,BALLARI-2,Public Infrastructure,Public building construction,8220000,2025-08-01,2026-03-27,2026-02-26,V020961,Completed
P00042052,MP0040,Rajasthan,JODHPUR-5,Education,School laboratory development,6140000,2025-04-17,2025-08-14,2025-08-03,V030990,Completed
P00042053,MP0057,West Bengal,SILIGURI-2,Public Infrastructure,Public facility improvement,3900000,2025-06-11,2025-11-23,2025-11-05,V018901,Completed
P00042054,MP0051,Rajasthan,JAIPUR-5,Electricity,Street lighting installation,9910000,2025-05-02,2025-09-06,,V010756,Ongoing
P00042055,MP0022,Tamil Nadu,MADURAI-3,Public Infrastructure,Public facility improvement,4450000,2025-06-07,2025-12-17,2025-12-11,V014810,Completed
P00042056,MP0068,Bihar,BHAGALPUR-1,Road,Road repair and improvement,4200000,2025-04-23,2025-10-18,,V034642,Ongoing
P00042057,MP0008,Maharashtra,NANDED-4,Water Supply,Drinking water facility,5710000,2025-04-02,2025-10-01,2025-09-18,V048174,Completed
P00042058,MP0060,Telangana,HYDERABAD-1,Sanitation,Waste management facility,4640000,2025-04-20,2025-12-28,,V038437,Ongoing
P00042059,MP0065,Tamil Nadu,CHENNAI-1,Electricity,Electricity infrastructure,5490000,2025-04-06,2025-12-18,2025-11-27,V001729,Completed
P00042060,MP0036,Gujarat,RAJKOT-1,Community Development,Public facility development,2460000,2025-02-15,2025-08-14,,V047294,Ongoing
P00042061,MP0071,Tamil Nadu,SALEM-2,Agriculture,Irrigation development,2070000,2025-08-03,2025-11-15,2025-10-26,V003651,Completed
P00042062,MP0089,Madhya Pradesh,UJJAIN-5,Road,Rural connectivity road,9340000,2025-07-16,2026-01-21,,V011867,Ongoing
P00042063,MP0029,Rajasthan,JODHPUR-2,Agriculture,Agricultural storage facility,3790000,2025-06-30,2026-01-11,2025-12-22,V028475,Completed
P00042064,MP0065,Tamil Nadu,CHENNAI-1,Education,School infrastructure improvement,1640000,2025-03-28,2025-07-03,2025-06-21,V023095,Completed
P00042065,MP0056,Telangana,WARANGAL-5,Education,School classroom construction,7470000,2025-07-01,2025-12-18,,V015780,Ongoing
P00042066,MP0082,Rajasthan,JODHPUR-3,Road,Internal road development,6430000,2025-03-03,2025-07-19,,V007703,Ongoing
P00042067,MP0004,Maharashtra,PUNE-1,Community Development,Public facility development,7970000,2025-05-18,2025-09-29,2025-09-11,V049696,Completed
P00042068,MP0084,Karnataka,BELAGAVI-4,Water Supply,Drinking water facility,4360000,2025-05-10,2025-09-14,2025-09-01,V005838,Completed
P00042069,MP0072,Madhya Pradesh,INDORE-1,Public Infrastructure,Infrastructure development,2490000,2025-07-16,2025-12-30,,V018352,Ongoing
P00042070,MP0091,Madhya Pradesh,BHOPAL-1,Sports,Sports ground development,640000,2025-06-17,2026-02-02,2026-01-06,V013814,Completed
P00042071,MP0050,Karnataka,HUBBALLI-2,Agriculture,Irrigation development,9040000,2025-03-29,2025-11-13,2025-10-20,V014219,Completed
P00042072,MP0039,Tamil Nadu,TIRUCHIRAPPALLI-2,Education,School laboratory development,4860000,2025-01-14,2025-08-29,2025-08-18,V042301,Completed
P00042073,MP0035,Rajasthan,JAIPUR-3,Water Supply,Pipeline installation,6330000,2025-02-04,2025-08-18,2025-07-25,V006787,Completed
P00042074,MP0025,Rajasthan,JODHPUR-4,Healthcare,Primary health centre development,7880000,2025-04-13,2025-10-14,,V026767,Ongoing
